search_term,category
Alto Veneto Pinot Grigio,Pinot Grigio
St Urbans Riesling Germany,Riesling
McBride Sisters Sauvignon Blanc New Zealand,Sauvignon Blanc
Boutari Moschofilero Greece,Greek White
Gloria Ferrer Pinot Noir California,Pinot Noir
Chloe Merlot California,Merlot
Peppoli Chianti Italy,Chianti
The Show Malbec Argentina,Malbec
Benvolio Prosecco Italy,Prosecco
Jean Luc Colombo Rose France,Rose
